Price,Close,High,Low,Open,Volume
Ticker,BABA,BABA,BABA,BABA,BABA
Date,,,,,
2023-01-03,87.35295104980469,89.69869166081159,86.18482298818273,86.52671377472583,27891000
2023-01-04,98.69229888916016,99.26211441826295,92.09192178965746,93.87734571300557,53291800
2023-01-05,99.31909942626953,100.38275313112011,95.57729901159817,96.29906920103066,30400400
2023-01-06,101.99724578857422,102.5670613469376,97.30575010837295,98.87274832807076,21072400
2023-01-09,105.25469970703125,107.42000317073693,102.68102709916367,106.35634215102277,42085300
2023-01-10,109.10095977783203,109.67078257841679,105.61558084165777,107.28704608247075,33478600
2023-01-11,109.23391723632812,109.41436160743758,106.66024461988351,108.83504706970525,22804400
2023-01-12,107.45799255371094,108.06579678455306,105.84350667848821,107.94233904083755,16590600
2023-01-13,111.12381744384766,112.04502278186848,108.3507024507216,108.75907160327934,25615100
2023-01-17,109.39537048339844,111.12381511118846,108.58812392869382,109.70876432993776,16945600
2023-01-18,107.52446746826172,110.87688960936045,107.35352208096728,110.87688960936045,15347900
2023-01-19,110.71544647216797,111.11431663910844,108.23674190595541,108.28422230929712,18489900
2023-01-20,113.83045196533203,114.02038808158572,111.87408243464512,112.3508283176565,18342700
2023-01-23,113.51704406738281,114.24831328700705,112.19412105520904,113.96340188405772,13590200
2023-01-24,113.43157196044922,113.96339883642793,109.21492388491009,109.21492388491009,7807100
2023-01-25,114.20082092285156,114.26729928138191,111.58915973750568,112.54835369252733,9705000
2023-01-26,114.50473022460938,115.19801078909732,112.78768287438805,114.91309937999858,11171000
2023-01-27,112.42488861083984,113.68798466741809,110.93386778886926,113.66899395596775,18027400
2023-01-30,105.6060791015625,107.4579886638457,104.25751396604805,106.07143485957903,21918200
2023-01-31,104.65637969970703,106.44181082767102,103.33630431010668,103.91561880431661,15330000
2023-02-01,107.14459228515625,108.21774505353343,104.60890831079364,106.23288593186625,16623000
2023-02-02,104.21952819824219,106.86443227465499,102.38661654211494,106.84068845032422,23396900
2023-02-03,100.98107147216797,104.02009258546195,100.48722601275902,102.61454803766269,15982200
2023-02-06,100.14533996582031,100.93358859501679,98.02752406520592,98.59733964518476,15337500
2023-02-07,100.19282531738281,101.94975966766755,98.5023693291435,101.46541317528052,16861700
2023-02-08,99.82244110107422,101.75032077384495,98.34091923344702,101.71233210472658,14329500
2023-02-09,103.00392150878906,104.28600834300573,102.32963891072842,103.04191017924856,16281300
2023-02-10,98.4358901977539,101.27547627664124,97.6191519015231,100.47773593833095,18776000
2023-02-13,99.51854705810547,101.00006904578625,98.91074279415447,100.65817824161401,18538600
2023-02-14,98.97721862792969,99.22414136809465,96.72643876562198,98.34092468750283,12978400
2023-02-15,97.89456176757812,98.23645254523049,96.86888943462102,97.23926990281146,18230200
